"Quotations","Quotes"
"Quotation","Quote"
"Quotation Items","Quote items"
"quotation successfully saved.","Quote successfully saved."
"Add to quotation","Add to quote"
"Create New Quotation","Create New Quote"
"Quotation valid until ","Quote valid until "
"My Quotations","My quotes"
"View Quotation","View Quote"
"quotation expired","Quote expired"
"Print Quotation","Print Quote"
"Request for a new quotation","Request a quote"
"You have no quotation available.","No quote available"
"Quotation Request","Quote request"
"Quotation request sent","Quote request sent"
"You quotation request has been successfully sent. You will be notified once store administrator will have reply to your request","Success! You'll receive your personal quote within 72 hours. If you need to get in touch, email us at hello@atailoredspace.com"
"Edit Quotation","Edit quote"
"Quotation #","Quote #"
"Quotations List","Quotes list"
